date,BTC,VIX,ETH,bitcoin,cryptocurrency,ethereum,crypto,btc,eth,crypto crash,bitcoin crash,buy bitcoin,sell bitcoin,crypto bull run,solana,altcoin,bitcoin price,crypto wallet
2018-06-26,6093.669921875,15.920000076293944,432.7720031738281,10,1,1,2,3,20,0,0,5,1,0,1,0,10,0
2018-06-27,6157.1298828125,17.90999984741211,442.364990234375,10,1,1,2,2,19,0,0,5,0,0,1,0,9,0
2018-06-28,5903.43994140625,16.850000381469727,422.364990234375,10,1,1,2,3,20,0,1,5,1,0,1,0,9,0
2018-06-29,6218.2998046875,16.09000015258789,436.0090026855469,13,2,1,2,3,20,0,1,6,1,0,1,0,11,0
2018-07-02,6614.18017578125,15.600000381469728,475.3469848632813,11,1,1,2,3,21,0,1,5,1,0,1,0,10,0
2018-07-03,6529.58984375,16.139999389648438,464.1950073242187,11,1,1,2,3,21,0,0,4,0,0,1,0,9,0
2018-07-05,6639.14013671875,14.970000267028809,474.4119873046875,10,1,1,2,2,19,0,1,4,1,0,1,0,8,0
2018-07-06,6673.5,13.369999885559082,474.0119934082031,9,1,1,2,3,19,0,0,4,1,0,1,0,8,0
2018-07-09,6741.75,12.6899995803833,476.6820068359375,9,1,1,2,2,21,0,0,5,1,0,1,0,8,0
2018-07-10,6329.9501953125,12.640000343322754,434.4240112304687,10,1,1,2,2,19,0,0,5,1,0,1,0,7,0
2018-07-11,6394.7099609375,13.630000114440918,446.51800537109375,10,1,1,2,2,19,0,0,5,1,0,1,0,7,0
2018-07-12,6228.81005859375,12.579999923706056,430.0740051269531,10,1,1,2,2,20,0,0,5,1,0,1,0,8,0
2018-07-13,6238.0498046875,12.18000030517578,434.0270080566406,9,1,1,2,2,18,0,0,5,1,0,1,0,8,0
2018-07-16,6741.75,12.829999923706056,480.6579895019531,10,1,1,2,3,20,0,0,5,1,0,1,0,8,0
2018-07-17,7321.0400390625,12.0600004196167,501.00201416015625,14,2,1,2,3,22,0,0,6,1,0,1,0,10,0
2018-07-18,7370.77978515625,12.100000381469728,480.5130004882813,15,2,1,2,3,23,0,0,8,1,0,1,0,11,0
2018-07-19,7466.85986328125,12.869999885559082,469.6189880371094,12,2,1,2,3,21,0,0,6,1,0,1,0,8,0
2018-07-20,7354.1298828125,12.859999656677246,450.697998046875,11,2,1,2,3,20,0,0,7,1,0,1,0,9,0
2018-07-23,7711.10986328125,12.619999885559082,450.8529968261719,12,1,1,2,3,21,0,0,7,1,0,1,0,10,0
2018-07-24,8424.26953125,12.40999984741211,479.37298583984375,16,1,1,2,4,22,0,0,8,1,0,1,0,12,0
2018-07-25,8181.39013671875,12.289999961853027,472.4930114746094,14,1,1,2,3,21,0,1,7,1,0,1,0,12,0
2018-07-26,7951.580078125,12.140000343322754,464.0369873046875,13,1,1,2,3,21,0,0,7,1,0,1,0,10,0
2018-07-27,8165.009765625,13.029999732971191,469.6659851074219,13,1,1,2,3,20,0,0,7,1,0,1,0,10,0
2018-07-30,8180.47998046875,14.260000228881836,457.08099365234375,11,1,1,2,3,19,0,0,6,1,0,1,0,8,0
2018-07-31,7780.43994140625,12.829999923706056,433.8670043945313,11,1,1,2,3,20,0,0,7,1,0,1,0,9,0
2018-08-01,7624.91015625,13.149999618530272,420.74700927734375,11,1,1,2,3,20,0,0,6,1,0,1,0,8,0
2018-08-02,7567.14990234375,12.1899995803833,412.6210021972656,11,1,1,2,3,21,0,0,6,1,0,1,0,8,0
2018-08-03,7434.39013671875,11.640000343322754,418.2619934082031,12,1,1,2,3,20,0,0,6,1,0,1,0,9,0
2018-08-06,6951.7998046875,11.270000457763672,406.6579895019531,11,1,1,2,3,21,0,0,6,1,0,1,0,8,0
2018-08-07,6753.1201171875,10.93000030517578,380.2149963378906,11,1,1,2,3,22,0,0,7,1,0,1,0,7,0
2018-08-08,6305.7998046875,10.850000381469728,356.6130065917969,14,2,2,2,3,26,1,1,8,1,0,1,0,9,0
2018-08-09,6568.22998046875,11.270000457763672,365.5880126953125,12,1,1,2,3,22,0,0,6,1,0,1,0,9,0
2018-08-10,6184.7099609375,13.15999984741211,334.1759948730469,12,1,1,2,3,20,0,0,6,1,0,1,0,9,0
2018-08-13,6297.56982421875,14.779999732971191,286.4949951171875,11,1,2,2,3,27,0,1,6,1,0,1,0,9,0
2018-08-14,6199.7099609375,13.3100004196167,278.9320068359375,14,2,2,2,3,32,2,1,7,1,0,1,0,11,0
2018-08-15,6308.52001953125,14.640000343322754,282.364013671875,12,1,2,2,3,26,0,1,6,1,0,1,0,10,0
2018-08-16,6334.72998046875,13.449999809265137,288.0459899902344,11,1,1,2,3,24,0,0,6,1,0,1,0,9,0
2018-08-17,6580.6298828125,12.640000343322754,315.72900390625,10,1,2,2,3,22,0,0,5,1,0,1,0,8,0
2018-08-20,6308.52978515625,12.489999771118164,274.31500244140625,10,1,1,2,3,21,0,0,5,1,0,1,0,8,0
2018-08-21,6488.759765625,12.859999656677246,281.9440002441406,11,1,1,2,2,21,0,0,5,1,0,1,0,8,0
2018-08-22,6376.7099609375,12.25,271.34100341796875,12,1,1,2,3,22,0,0,5,1,0,1,0,8,0
2018-08-23,6534.8798828125,12.40999984741211,277.10400390625,10,1,1,2,3,21,0,0,6,1,0,1,0,8,0
2018-08-24,6719.9599609375,11.989999771118164,282.9670104980469,9,1,1,2,3,21,0,0,5,1,0,1,0,8,0
2018-08-27,6884.64013671875,12.15999984741211,285.6029968261719,10,1,1,2,2,21,0,0,6,1,0,1,0,7,0
2018-08-28,7096.27978515625,12.5,296.4989929199219,12,1,1,2,3,22,0,0,6,1,0,1,0,9,0
2018-08-29,7047.16015625,12.25,289.31201171875,11,1,1,2,3,22,0,0,5,1,0,1,0,7,0
2018-08-30,6978.22998046875,13.529999732971191,284.1050109863281,10,1,1,2,3,20,0,0,5,1,0,1,0,7,0
2018-08-31,7037.580078125,12.859999656677246,283.0039978027344,10,1,1,2,3,20,0,0,6,1,0,1,0,7,0
2018-09-04,7361.66015625,13.15999984741211,285.7229919433594,50,6,5,8,13,81,0,0,18,3,0,5,1,42,1
